,BIN Number,Inspector ID,R.Section of Law,R.I_CODE,R.New I_CODE
451,3129155,3047,12,6,5
452,3117884,3044,12,6,5
453,4618176,3084,12,6,5
454,3129155,3047,12,6,5
455,3077017,2982,12,6,5
456,3424226,3084,12,6,5
457,3421810,3044,12,6,5
458,3166903,2982,12,6,5
459,1080979,2884,12,6,5
460,3425020,3044,12,6,5
461,1087937,3048,12,6,5
462,5095366,2984,12,6,5
463,3138149,2984,12,6,5
464,3064046,3047,17,7,6
465,3117142,2801,17,7,6
466,4617734,3084,17,7,6
467,3424823,3085,17,7,6
468,4619718,2941,17,7,6
469,1090533,3053,17,7,6
470,3418366,2865,17,7,6
471,3071237,3044,17,7,6
472,2017641,2989,17,7,6
473,3811206,3048,17,7,6
474,1063354,2868,17,7,6
475,3329905,2987,17,7,6
476,1090776,2987,17,7,6
477,3426770,3050,17,7,6
478,4216421,2841,17,7,6
479,4004370,2783,17,7,6
480,4595994,2841,17,7,6
481,4619556,3059,17,7,6
482,3426836,2879,17,7,6
483,3032506,2987,17,7,6
484,3830946,2958,17,7,6
485,4213677,2841,17,7,6
486,3068597,2958,17,7,6
487,3426412,2978,17,7,6
488,3061713,2989,17,7,6
489,3064912,3048,17,7,6
490,3426540,2829,17,7,6
491,4619672,2879,17,7,6
492,3002212,3050,17,7,6
493,4258240,2841,17,7,6
494,1088693,2958,17,7,6
495,1006572,2958,17,7,6
496,1007981,3047,17,7,6
497,4617767,2841,17,7,6
498,3259613,3085,17,7,6
499,4004666,3048,17,7,6
500,4609936,2987,17,7,6
501,2129300,2989,17,7,6
502,3072876,2881,17,7,6
503,1090376,3047,17,7,6
504,2129167,3077,17,7,6
505,3019152,2796,17,7,6
506,1090483,3051,17,7,6
507,4597148,2941,17,7,6
508,3424614,3044,17,7,6
509,3424780,3044,17,7,6
510,1090813,3051,17,7,6
511,3426301,3084,17,7,6
512,4113424,2879,17,7,6
513,4443297,2783,17,7,6
514,3428553,3044,17,7,6
515,1063970,2868,17,7,6
516,1089412,2941,17,7,6
517,1089412,2941,17,7,6
518,1089412,2941,17,7,6
519,1089412,2941,17,7,6
520,1089412,2941,17,7,6
521,1062944,2868,17,7,6
522,3835080,3048,17,7,6
523,1013789,3044,17,7,6
524,3345998,2958,17,7,6
525,3426836,2879,17,7,6
526,4044378,2881,17,7,6
527,4607363,2783,17,7,6
528,2012642,2783,17,7,6
529,1050477,3085,17,7,6
530,2012298,2796,17,7,6
531,2094444,2958,17,7,6
532,4618176,2841,17,7,6
533,4109378,2879,17,7,6
534,4005624,2879,17,7,6
535,1813030,3047,17,7,6
536,3130469,2941,17,7,6
537,1090357,3047,17,7,6
538,1001639,3085,17,7,6
539,1047689,3048,17,7,6
540,2128412,3077,17,7,6
541,3059506,2801,17,7,6
542,1081164,2829,17,7,6
543,2007858,2783,17,7,6
544,3032116,2879,17,7,6
545,3038367,2978,17,7,6
546,2010639,2783,17,7,6
547,2129428,2796,17,7,6
548,1009137,2829,17,7,6
549,5171081,2789,17,7,6
550,3024519,3085,17,7,6
551,2129016,2796,17,7,6
552,3079907,2796,17,7,6
553,3421880,2987,17,7,6
554,1014557,2958,17,7,6
555,3322935,3047,17,7,6
556,2003872,2879,17,7,6
557,3034873,2801,17,7,6
558,4215616,2989,17,7,6
559,2129472,2989,17,7,6
560,2014511,2865,17,7,6
561,4115451,3044,17,7,6
562,4082119,2941,17,7,6
563,3063055,3047,17,7,6
564,2128755,2989,17,7,6
565,2094641,2989,17,7,6
566,3100099,2987,17,7,6
567,4192781,2879,17,7,6
568,3395434,3044,17,7,14
569,1013332,2868,17,7,14
570,1080322,3048,17,7,14
571,4226158,2841,17,7,6
572,1082321,3102,17,7,6
573,3426500,3059,17,7,6
574,4614981,2987,17,7,6
575,4000479,2865,17,7,6
576,4124618,3070,17,7,6
577,4124618,2456,17,7,6
578,4124618,3050,17,7,6
579,3205923,2865,17,7,6
580,4193865,3044,17,7,6
581,3815400,2879,17,7,6
582,1017205,3075,17,7,6
583,1017205,3050,17,7,6
584,1082709,2884,17,7,6
585,3397264,2879,17,7,6
586,3100099,2884,17,7,6
587,1090479,3048,17,7,6
588,3189556,2865,17,7,6
589,4000019,2868,17,7,6
590,1001870,3050,17,7,6
591,4614987,2958,17,7,6
592,2098986,2783,17,7,6
593,1055495,2868,17,7,6
